Measurement (hr),radiation [W/m²],RH [%],temp greenhouse [°C] 
417,181.55,74,26.25
418,134.5,78,25.45
419,134.68,95,25.95
420,106.6,97,24.7
421,21.55,89,23.7
422,11.56,93,23.6
423,0.57,94,24.4
424,0,94,22.76
425,1,90,22.3
426,1,91,21.2
427,1,93,20.26
428,0.65,93,20.7
429,0,93,20.9
430,0,92,20.57
431,0,93,18.8
432,0,87,19.5
433,15.27,85,20.1
434,122,80,21.1
435,280.5,75,21.69
436,347.57,68,23.76
437,299.4,66,24.53
438,367,62,26.15
439,420.95,65,26.28
440,416.47,63,28.18
441,642.12,56,27.84
442,194.8,61,24.38
443,545.63,61,28.38
444,392.67,67,27.02
445,243.7,68,25.99
446,96.6,69,24
447,1,71,21.9
448,0,73,20.5
449,1,74,20.08
450,0,86,18.9
451,0,87,18.3
452,0,90,18.2
453,0,91,18.4
454,0,95,18.8
455,0,95,19.5
456,1,90,19.9
457,3,95,20.2
458,13.88,95,20.39
459,56.6,95,19.3
460,29.6,90,20.9
461,84.5,83,21.02
462,180.57,80,23.14
463,92.4,77,21.3
464,352.28,75,23.67
465,465.27,75,25.45
466,370.5,75,24.6
467,407,76,24.47
468,362.92,82,24.8
469,103.5,82,22.86
470,34.63,85,22.9
471,1,88,22.2
472,0,88,21.1
473,0,90,20.7
474,0,92,20.6
475,0,95,20.6
476,0,95,20.2
477,0,97,20.4
478,1,98,20.8
479,0,95,20.9
480,1,95,21.6
481,1,95,21.65
482,12.5,95,21.7
483,37,90,20.6
484,80.6,88,22.2
485,147.45,85,23.2
486,173.23,76,22.8
487,299.92,78,24.2
488,284,73,24.76
489,638.95,69,30
490,390.62,73,25.76
491,546.17,76,26.36
492,385.95,81,25.4
493,230,84,24.5
494,79.37,86,23.8
495,1,87,22.77
496,0,90,21.8
497,0,90,21.3
498,0,92,21.3
499,0,93,20.8
500,1,92,21.4
501,0,96,22.4
502,0,95,22.3
503,0,90,22.5
504,0,85,23.3
505,20.2,78,22.68
506,120.18,72,23.32
507,251.08,70,25.98
508,426.33,56,28.65
509,547.7,52,29.77
510,634,50,31
511,678.23,65,31.61
512,675,65,32.5
513,627,55,32.99
514,560,59,33.28
515,471.95,68,31.4
516,340.97,75,29.8
517,200.97,77,27.8
518,68,77,27
519,0,81,26.2
520,0,82,25.1
521,0,83,23.3
522,0,86,21.51
523,0,88,21
524,0,92,21.2
525,0,89,20.49
526,0,90,20.6
527,0,83,20.31
528,0,77,20.89
529,14.9,69,21.9
530,120.77,66,23.4
531,275.6,63,24.19
532,429.7,61,27.4
533,533,58,30.7
534,605.45,55,34.18
535,668.8,52,34.02
536,666,52,34.64
537,638.77,52,34.92
538,570.25,57,34.25
539,474,65,34.4
540,357.57,72,33.8
541,207.85,78,32.2
542,29.9,76,29.6
543,0,81,27.9
544,0,94,25.4
545,0,97,24.9
546,0,98,23.4
547,0,94,22.74
548,0,92,22.2
549,0,93,21.66
550,0,98,21.3
551,0,84,21
552,0,78,22.2
553,11.52,69,22.6
554,125.5,62,24.35
555,275.93,60,28.55
556,421.8,54,29.69
557,535.38,52,32.35
558,618,54,33.66
559,643.57,49,36.09
560,671,46,36.1
561,636.07,69,34.25
562,549.55,70,38.06
563,459.57,77,36.6
564,333.17,91,36.6
565,185.2,97,33.9
566,48.85,98,31.2
567,0,97,28.8
568,0,98,26.6
569,0,93,26.3
570,0,98,25.9
571,0,96,25.1
572,0,95,24.47
573,0,98,23.9
574,0,95,24
575,0,91,23.2
576,0,92,23.4
577,5.22,83,23.7
578,83.4,86,24.7
579,222.55,83,24.62
580,356.17,69,27.03
581,499.6,72,28.33
582,582.47,73,31.5
583,646.12,75,32.12
584,399.5,74,30.09
585,550.58,75,29.89
586,543.93,78,29.51
587,428.9,84,29.4
588,311.83,86,29.2
589,118.15,85,26.1
590,23,84,25.5
591,0,78,24.4
592,0,86,23
593,0,86,21.5
594,0,92,20.7
595,0,93,20.5
596,0,93,20.2
597,0,90,20
598,0,93,20.49
599,0,92,20.4
600,0,84,21.4
601,10,72,22
602,97.65,60,23.3
603,164,61,21.4
604,380.7,59,25.02
605,502.83,57,26.7
606,590.63,60,29.88
607,641.8,59,31.78
608,649.22,61,32.3
609,620,60,31.3
610,545.23,63,32.2
611,427.75,70,30.63
612,325.8,76,31.1
613,183.28,84,28.6
614,31.4,83,26.7
615,0,90,26.4
616,0,93,24.8
617,0,97,22.5
618,0,98,22.1
619,0,98,22.2
620,0,99,21.9
621,0,100,21.6
622,0,100,21.8
623,0,92,21.7
624,0,91,22.76
625,7,95,23.5
626,27,86,24.8
627,73.47,87,24.29
628,168.2,80,24.55
629,455.93,76,28.85
630,352.32,72,27.65
631,707,73,30.65
632,475.13,74,30.16
633,547.4,73,29.65
634,521.2,74,29.8
635,356.63,79,26.54
636,392.58,81,26.68
637,143,83,24.76
638,33.62,85,23.3
639,0,82,22.6
640,0,84,20.8
641,0,90,21
642,0,85,21.2
643,0,86,21.4
644,0,82,21.7
645,0,85,20.7
646,0,87,20.7
647,0,86,20.1
648,0,81,21.2
649,5,82,21.5
650,58.08,80,23.2
651,80.47,73,21.99
652,125.85,74,22.8
653,188.2,73,22.9
654,216,72,24.8
655,285,69,25.6
656,563.95,70,28.8
657,724.23,69,27.4
658,451.3,68,26.19
659,391.27,78,25.81
660,362.25,87,26.6
661,192.25,96,23.7
662,47.3,98,22.9
663,0,99,22
664,0,99,18.71
665,0,100,19.88
666,0,99,19.7
667,0,100,19.1
668,0,98,19.3
669,0,98,18.98
670,0,100,18.48
671,0,97,18.27
672,0,89,18.57
673,5,80,19.5
674,73.4,69,21.17
675,244.05,68,22.27
676,410,68,25.13
677,521.33,70,28.6
678,507.48,70,29.16
679,479.9,72,28.36
680,474.3,74,31.26
681,568.33,73,25.3
682,223,73,26.3
683,455.77,80,26.5
684,105.93,89,24.5
685,150.05,96,25.4
686,36.13,98,23.89
687,0,99,23.1
688,0,100,22.7
689,0,99,21.9
690,0,100,20.5
691,0,99,19.3
692,0,100,19.5
693,0,100,20.4
694,0,100,19.7
695,0,98,19
696,0,85,19.18
697,5,73,20.2
698,86.25,66,21.2
699,241.2,56,21
700,398.15,46,23.5
701,505.4,50,27.83
702,595.37,46,29.44
703,645.67,56,29.73
704,650.65,60,32.3
705,625.1,76,31.1
706,570.58,77,30.96
707,462.2,81,29.1
708,252.23,86,26.9
709,97.73,96,24
710,57,96,23.6
711,0,98,23.2
712,0,99,22.1
713,0,98,21.6
714,0,98,21.2
715,0,98,20.6
716,1,98,20.7
717,1,97,21
718,0,98,21.6
719,0,97,22.2
720,0,97,22
721,3,78,22.6
722,74.17,72,23.7
723,232.9,72,24.79
724,371.67,68,26.56
725,338.57,66,25.01
726,583.1,71,23.59
727,517.08,71,25.6
728,524.6,71,25.9
729,468.65,72,27.1
730,374.27,72,25.7
731,268.17,78,25.1
732,310,95,24.6
733,145.22,100,23.4
734,41.1,98,22.6
735,0,99,22.01
736,0,99,21.5
737,0,98,21.5
738,0,98,20.61
739,0,97,20.4
740,0,97,20.8
741,0,98,20.9
742,0,98,20.02
743,0,96,20
744,0,91,20.09
745,2,88,20.9
746,60.27,83,21.4
747,227.62,72,21.36
748,262.8,72,22.8
749,606.42,73,26.82
750,416.47,73,27.49
751,422.1,73,25.65
752,524.27,70,27.06
753,166.42,75,23.85
754,274,77,24.65
755,245,79,25
756,170,83,23.9
757,57.6,86,22.95
758,2,81,22.4
759,0,86,22.14
760,2,85,20.96
761,0.6,88,20.9
762,0,93,20.6
763,0,97,19.46
764,0,97,19.6
765,0,97,19.53
766,0,98,20.3
767,0,97,20.47
768,0,95,20.4
769,0,81,21.1
770,21.5,76,22.12
771,154.63,83,21.32
772,151.2,73,23.28
773,313.07,64,26.38
774,508.8,71,27.12
775,563.95,74,28.55
776,257,72,26.38
777,545.3,73,29.4
778,333.33,73,26.01
779,439.7,75,26.61
780,144.9,80,24.4
781,62,84,22.89
782,18.87,82,23.1
783,0,88,23
784,0,87,23.1
785,0,84,20.3
786,1,89,20.3
787,1,90,20.1
788,1,89,19.3
789,1,89,20.3
790,0,94,20.6
791,1,90,20.8
792,0,85,20.9
793,1,81,21.9
794,8.05,71,22.5
795,70.13,69,21.8
796,364.83,75,25.61
797,439.4,77,28.5
798,259.28,86,23.7
799,222.07,70,24.31
800,195.1,72,23.62
801,261.6,74,23.2
802,278.45,83,23.61
803,200.53,85,22.29
804,110.2,81,22.81
805,48.4,78,21.2
806,0,75,21.7
807,2,78,21.22
808,1,78,20.1
809,0,77,19.8
810,0,80,19.3
811,0,79,19.1
812,0,80,18.9
813,0,80,19.1
814,0,84,19.1
815,0,81,19.6
816,0,80,19.87
817,6,77,20.9
818,56.9,74,21.6
819,215.22,76,23.2
820,295.18,77,22.14
821,577.2,73,23.96
822,299.92,67,24.44
823,708.93,66,28.51
824,611.2,64,26.95
825,629.47,70,27.85
826,537.45,71,25.65
827,342,80,27.35
828,293.55,94,26.55
829,136.07,97,24.65
830,12.55,98,23
831,0,99,22.3
832,0,97,22.3
833,0,95,22
834,0,86,21.7
835,0,89,21.8
836,0,94,21.3
837,0,94,20.9
838,0,94,22.4
839,0,94,22
840,0,90,22.44
841,0.35,88,22.7
842,26.33,87,23.27
843,69,87,22.6
844,228.3,85,23.73
845,250.4,85,25.2
846,172.87,84,26.07
847,263,82,25.72
848,130.77,78,24.62
849,160.65,80,25.42
850,170.4,82,26.4
851,150,84,26.78
852,134.67,91,26.3
853,53.85,94,24.9
854,3,95,24.5
855,0,99,24.9
856,0,98,25.1
857,0,100,24.59
858,0,99,23.91
859,0,99,23.5
860,0,99,21.1
861,0,99,20.8
862,0,99,22.4
863,0,100,21.8
864,0,91,21.1
865,0.97,76,22
866,57.02,70,22.1
867,212,63,21.8
868,366.97,53,24.2
869,481.33,46,28.63
870,569,51,29.26
871,608.7,53,32.86
872,602,53,32.22
873,588.73,56,29.17
874,519.5,63,29.3
